iter	Passed	Remaining
0	616	245974
1	1214	241663
2	1748	231374
3	2353	233043
4	2901	229187
5	3487	229042
6	4039	226768
7	4616	226228
8	5156	224039
9	5701	222369
10	6268	221689
11	6819	220495
12	7377	219609
13	7913	218192
14	8465	217273
15	9030	216743
16	9590	216077
17	10150	215415
18	10731	215188
19	11273	214196
20	11820	213331
21	12462	214127
22	13027	213539
23	13577	212712
24	14126	211904
25	14690	211311
26	15243	210590
27	15786	209740
28	16349	209157
29	16910	208563
30	17484	208119
31	18052	207601
32	18612	206992
33	19197	206654
34	19757	206042
35	20321	205473
36	20884	204895
37	21455	204390
38	22004	203680
39	22601	203416
40	23206	203199
41	23803	202893
42	24429	202818
43	25010	202360
44	25560	201641
45	26118	200998
46	26680	200385
47	27249	199828
48	27797	199118
49	28340	198382
50	28918	197892
51	29522	197574
52	30093	197028
53	30662	196467
54	31237	195943
55	31807	195391
56	32368	194777
57	32944	194259
58	33513	193696
59	34081	193129
60	34658	192612
61	35214	191975
62	35779	191391
63	36351	190843
64	36909	190225
65	37475	189646
66	38053	189131
67	38614	188530
68	39187	187986
69	39759	187435
70	40320	186836
71	40897	186310
72	41464	185738
73	42043	185216
74	42614	184662
75	43183	184097
76	43766	183590
77	44350	183088
78	44927	182554
79	45500	182002
80	46065	181416
81	46639	180868
82	47192	180241
83	47761	179674
84	48330	179106
85	48897	178531
86	49468	177972
87	50045	177434
88	50624	176900
89	51179	176286
90	51753	175734
91	52336	175212
92	52892	174601
93	53463	174040
94	54045	173513
95	54616	172951
96	55191	172402
97	55765	171849
98	56335	171281
99	56893	170679
100	57463	170114
101	58036	169558
102	58613	169010
103	59168	168403
104	59736	167831
105	60311	167278
106	60881	166712
107	61454	166154
108	62033	165612
109	62607	165054
110	63178	164491
111	63761	163957
112	64351	163440
113	64929	162894
114	65527	162394
115	66148	161950
116	66716	161373
117	67288	160807
118	67880	160288
119	68449	159714
120	69065	159250
121	69633	158673
122	70212	158121
123	70804	157598
124	71358	156989
125	71935	156430
126	72500	155847
127	73082	155300
128	73690	154807
129	74264	154241
130	74854	153708
131	75422	153130
132	76002	152575
133	76570	151997
134	77148	151439
135	77724	150877
136	78292	150299
137	78855	149710
138	79426	149138
139	80000	148572
140	80565	147989
141	81130	147406
142	81718	146863
143	82306	146322
144	82900	145790
145	83474	145222
146	84030	144623
147	84602	144052
148	85175	143483
149	85749	142915
150	86325	142351
151	86915	141809
152	87508	141271
153	88086	140709
154	88670	140156
155	89261	139613
156	89831	139039
157	90396	138456
158	90973	137890
159	91549	137324
160	92175	136831
161	92780	136307
162	93352	135733
163	93935	135176
164	94513	134610
165	95101	134058
166	95687	133504
167	96274	132950
168	96874	132414
169	97442	131833
170	98020	131266
171	98608	130713
172	99192	130154
173	99819	129650
174	100397	129082
175	100973	128512
176	101559	127953
177	102136	127383
178	102748	126857
179	103342	126307
180	103943	125766
181	104585	125272
182	105205	124751
183	105823	124227
184	106431	123690
185	107073	123192
186	107719	122696
187	108338	122169
188	108951	121633
189	109563	121096
190	110164	120546
191	110805	120039
192	111426	119509
193	112043	118974
194	112654	118431
195	113278	117902
196	113865	117333
197	114445	116757
198	115040	116196
199	115655	115655
200	116272	115115
201	116867	114552
202	117457	113986
203	118047	113417
204	118626	112839
205	119258	112311
206	119852	111746
207	120420	111157
208	121013	110591
209	121583	110004
210	122194	109453
211	122778	108878
